player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
kyeahoo,DRX Challengers,mid,96,65,4.614583333333333,2.2291666666666665,7.822916666666667,802.9001604166666,8.874380208333333,33.34375,67.7,5.58,67.8,5.52,LCKC,Korea
Smash,T1 Esports Academy,bot,103,68,6.019417475728155,2.378640776699029,6.961165048543689,819.0535912621359,9.66635922330097,39.41747572815534,66.0,5.46,66.8,5.51,LCKC,Korea
Guertas,mCon esports,jng,73,45,4.876712328767123,2.671232876712329,9.780821917808218,455.33551369863017,6.404601369863014,38.863013698630134,61.6,5.49,61.6,5.49,ROL,Other
Santorin,NORD Esports,jng,20,11,3.2,2.45,10.25,469.34354999999994,6.4420850000000005,42.15,55.0,5.49,55.0,5.49,NLC,Europe
Zelt,Fuego,mid,47,29,5.680851063829787,2.723404255319149,9.23404255319149,798.3265617021277,8.619048936170213,32.659574468085104,61.7,5.48,61.7,5.48,LRN,Other
Ghost,Estral Esports,bot,32,19,6.21875,2.3125,6.875,929.996546875,9.282278125,30.65625,59.4,5.66,56.5,5.48,LRN,Other
Bissejr15,DMG Esports,mid,25,8,3.4,1.72,6.0,650.683804,8.054404,21.04,32.0,5.47,32.0,5.47,NLC,Europe
Matislaw,Team Paradox,mid,22,10,3.772727272727273,2.0,7.136363636363637,676.7128045454546,7.801031818181818,28.59090909090909,45.5,5.45,45.5,5.45,HLL,Europe
Chovy,Gen.G,mid,163,117,3.7300613496932513,2.042944785276074,7.49079754601227,774.6263417177914,9.307749693251534,42.80368098159509,71.8,5.49,71.0,5.44,LCK,Korea
Strensh,WAP Esports,bot,26,14,4.538461538461538,1.8846153846153846,6.3076923076923075,664.7126538461538,8.890699999999999,27.26923076923077,53.8,5.76,51.9,5.43,LRS,Other
Strensh,WAP Esports,bot,26,14,4.538461538461538,1.8846153846153846,6.3076923076923075,664.7126538461538,8.890699999999999,27.26923076923077,53.8,5.76,51.9,5.43,LRS,Other
Pinkmin,Falke Esports,sup,16,10,1.1875,2.6875,13.375,219.7446875,0.82856875,100.875,62.5,5.42,62.5,5.42,NEXO,Other
GALA,JD Gaming,bot,13,8,5.615384615384615,2.076923076923077,5.615384615384615,729.559176923077,9.340538461538461,32.07692307692308,61.5,5.41,61.5,5.41,DCup,China
Mikkel,mCon esports,mid,28,17,7.571428571428571,2.7142857142857144,7.107142857142857,812.3341321428571,8.8161,19.785714285714285,60.7,5.41,60.7,5.41,ROL,Other
