team,games,wins,avg_kills,avg_deaths,avg_dragons,avg_barons,avg_towers,avg_gamelength,winrate,weighted_winrate,primary_league,region
One More Esports,68,29,16.779411764705884,19.014705882352942,2.25,0.5294117647058824,5.352941176470588,32.2,42.6,42.6,AL,Europe
Corinthians Esports,52,22,14.096153846153847,16.01923076923077,2.2115384615384617,0.4423076923076923,6.153846153846154,33.5,42.3,42.3,CD,Latin America
Team Paradox,52,22,15.307692307692308,20.134615384615383,1.9038461538461537,0.40384615384615385,5.75,32.2,42.3,42.3,HLL,Europe
Dplus KIA Challengers,110,46,14.563636363636364,17.509090909090908,2.2636363636363637,0.4636363636363636,4.381818181818182,32.7,41.8,42.3,LCKC,Korea
Austrian Force willhaben,64,27,15.796875,16.546875,2.265625,0.53125,5.9375,32.0,42.2,42.2,PRM,Europe
Night Cap,12,5,17.5,17.666666666666668,2.3333333333333335,0.5,5.166666666666667,34.6,41.7,41.7,LJL,Japan
Grow uP eSports,12,5,16.916666666666668,23.333333333333332,1.5833333333333333,0.5,5.333333333333333,30.8,41.7,41.7,LPLOL,Other
BAAM Esports,77,32,18.285714285714285,18.844155844155843,2.1948051948051948,0.5584415584415584,6.0519480519480515,32.4,41.6,41.6,AL,Europe
Lille Esport,41,17,16.073170731707318,18.902439024390244,2.4390243902439024,0.5609756097560976,5.682926829268292,32.3,41.5,41.5,LFL2,Europe
Shopify Rebellion,63,26,12.047619047619047,15.444444444444445,2.0952380952380953,0.5238095238095238,4.9523809523809526,34.9,41.3,41.3,LTA N,North America
e-Champ Gaming,17,7,15.235294117647058,17.941176470588236,2.0,0.47058823529411764,5.647058823529412,33.1,41.2,41.2,CD,Latin America
Caldya Esport,17,7,16.764705882352942,17.705882352941178,2.4705882352941178,0.7647058823529411,5.705882352941177,34.5,41.2,41.2,LFL2,Europe
Ruddy Esports,39,16,15.897435897435898,18.05128205128205,1.9230769230769231,0.3333333333333333,5.461538461538462,31.2,41.0,41.0,NLC,Europe
SDM Tigres,38,18,15.368421052631579,16.05263157894737,1.763157894736842,0.4473684210526316,5.684210526315789,30.9,47.4,40.9,LRN,Other
Nongshim RedForce,144,60,13.972222222222221,17.11111111111111,1.7083333333333333,0.5138888888888888,5.694444444444445,31.0,41.7,40.6,LCK,Korea
ZGDX Gaming,10,4,15.3,18.4,2.1,0.8,4.7,32.1,40.0,40.0,CD,Latin America
WLGaming Esports,40,16,17.95,19.025,2.175,0.4,5.8,33.1,40.0,40.0,HLL,Europe
DCT eSports,10,4,18.2,17.2,2.5,0.4,6.6,34.5,40.0,40.0,LRN,Other
Sponge Gaming,10,4,22.0,21.3,2.0,0.4,5.5,31.4,40.0,40.0,PCS,Southeast Asia
Dynamo Eclot,35,14,14.257142857142858,18.82857142857143,2.057142857142857,0.5714285714285714,5.714285714285714,33.4,40.0,40.0,HM,Europe
A One Man Army,48,19,14.291666666666666,18.625,2.0833333333333335,0.375,5.479166666666667,32.3,39.6,39.6,ROL,Other
BBL Dark Passage,53,21,15.320754716981131,16.09433962264151,2.2641509433962264,0.6226415094339622,5.037735849056604,34.2,39.6,39.6,TCL,Europe
Kareha Children,43,17,16.13953488372093,21.25581395348837,2.2093023255813953,0.3023255813953488,5.209302325581396,32.4,39.5,39.5,LJL,Japan
DRX,101,40,13.188118811881187,16.475247524752476,2.0297029702970297,0.5445544554455446,4.881188118811881,33.2,39.6,39.4,LCK,Korea
SN CyberCore Esports,28,11,14.821428571428571,18.357142857142858,1.6428571428571428,0.39285714285714285,4.142857142857143,30.3,39.3,39.3,VCS,Southeast Asia
Team WE,141,54,14.26241134751773,16.872340425531913,2.0709219858156027,0.46808510638297873,4.921985815602837,31.8,38.3,39.2,LPL,China
BNK FEARX Academy,51,20,18.372549019607842,19.19607843137255,1.5686274509803921,0.43137254901960786,5.509803921568627,29.3,39.2,39.2,LAS,Latin America
Andromeda Gaming,23,9,17.0,20.434782608695652,1.8695652173913044,0.34782608695652173,5.3478260869565215,30.7,39.1,39.1,HC,Other
Oh My God,53,23,14.471698113207546,15.39622641509434,2.056603773584906,0.4339622641509434,4.962264150943396,32.9,43.4,38.8,LPL,China
LYON Academy,31,12,17.806451612903224,18.806451612903224,1.8709677419354838,0.6451612903225806,6.290322580645161,32.3,38.7,38.7,LRN,Other
Leviatan,40,15,11.9,14.65,1.475,0.475,4.775,33.3,37.5,38.5,LTA S,Latin America
Disguised,47,18,10.914893617021276,16.872340425531913,2.106382978723404,0.46808510638297873,4.9361702127659575,33.3,38.3,38.3,LTA N,North America
OKSavingsBank BRION,105,40,12.895238095238096,14.228571428571428,2.0285714285714285,0.37142857142857144,4.704761904761905,32.3,38.1,38.3,LCK,Korea
MY STAR,34,13,14.529411764705882,18.352941176470587,1.8823529411764706,0.47058823529411764,5.029411764705882,32.4,38.2,38.2,RL,Other
Karmine Corp Blue Stars,42,16,14.5,17.88095238095238,1.7142857142857142,0.4523809523809524,4.928571428571429,32.8,38.1,38.1,LFL2,Europe
Dynamo Eclot Talents,29,11,14.206896551724139,18.620689655172413,2.2413793103448274,0.41379310344827586,4.517241379310345,31.3,37.9,37.9,HC,Other
